,encoder_freeze,scratch,measure_size,weights,uncertainty_topk,grad_num,rand_num,T_mc,encoder_lr,cost_predictor_lr,rank_warmup_epochs,lambda_reg,lambda_pair,lambda_infonce,gamma,beta,noise_std,margin_scale,tau,tau_c,feature_predictor_lr,epochs,phase,train_size,top-1,used_time,val_reg_r2,val_rank_r2,sampling_seed
148,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,1e-05,100,0.01,3.0,0.2,0.01,0.01,0.001,0.3,0.05,,0.0,1000,3,192,0,13.05,"[-1.3898, -2.4102, -1.2929]","[None, None, None]",2008
149,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,1e-05,100,0.01,3.0,0.2,0.01,0.01,0.001,0.3,0.05,,0.0,1000,3,192,0,12.91,"[-0.9831, 0.0972, 0.0036]","[None, None, None]",2009
150,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,1e-05,100,0.01,3.0,0.2,0.01,0.01,0.001,0.3,0.05,,0.0,1000,3,192,0,13.27,"[-0.601, -1.2418, -0.5374]","[None, None, None]",2010
151,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,1e-05,100,0.01,3.0,0.2,0.01,0.01,0.001,0.3,0.05,,0.0,1000,4,256,0,18.15,"[-0.337, -0.503, -0.3658, -0.682]","[None, None, None, None]",2011
152,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,1e-05,100,0.01,3.0,0.2,0.01,0.01,0.001,0.3,0.05,,0.0,1000,3,192,0,12.93,"[-0.6639, -0.2326, -0.4112]","[None, None, None]",2012
153,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,1e-05,100,0.01,3.0,0.2,0.01,0.01,0.001,0.3,0.05,,0.0,1000,3,192,0,12.82,"[-0.7442, -0.8737, -0.6262]","[None, None, None]",2013
154,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,1e-05,100,0.01,3.0,0.2,0.01,0.01,0.001,0.3,0.05,,0.0,1000,2,128,0,8.41,"[-0.2297, -1.0268]","[None, None]",2014
155,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,1e-05,100,0.01,3.0,0.2,0.01,0.01,0.001,0.3,0.05,,0.0,1000,5,320,0,22.51,"[-0.3981, -1.1806, -0.7854, -0.6295, -0.8492]","[None, None, None, None, None]",2015
156,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,1e-05,100,0.01,3.0,0.2,0.01,0.01,0.001,0.3,0.05,,0.0,1000,3,192,0,12.84,"[-0.7917, -1.9772, -1.8768]","[None, None, None]",2016
157,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,1e-05,100,0.01,3.0,0.2,0.01,0.01,0.001,0.3,0.05,,0.0,1000,3,192,0,12.82,"[-0.2748, -0.7865, -0.5495]","[None, None, None]",2017
158,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,1e-05,100,0.01,3.0,0.2,0.01,0.01,0.001,0.3,0.05,,0.0,1000,5,320,0,22.62,"[-0.6308, -0.7664, -0.7329, -0.609, -0.5502]","[None, None, None, None, None]",2018
159,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,1e-05,100,0.01,3.0,0.2,0.01,0.01,0.001,0.3,0.05,,0.0,1000,3,192,0,13.13,"[-0.5439, -0.2437, -0.48]","[None, None, None]",2019
160,False,False,64,"(0.4, 0.3, 0.3)",128,4,0,20,1e-05,0.0001,100,0.01,2.0,0.1,0.01,0.01,0.001,0.3,0.05,,0.0,1000,4,256,0,17.51,"[0.5809, 0.6467, 0.6693, 0.6981]","[None, None, None, None]",2000
161,False,False,64,"(0.4, 0.3, 0.3)",128,4,0,20,1e-05,0.0001,100,0.01,2.0,0.1,0.01,0.01,0.001,0.3,0.05,,0.0,1000,1,64,0,4.05,[0.553],[None],2001
162,False,False,64,"(0.4, 0.3, 0.3)",128,4,0,20,1e-05,0.0001,100,0.01,2.0,0.1,0.01,0.01,0.001,0.3,0.05,,0.0,1000,2,128,0,8.35,"[0.6319, 0.6475]","[None, None]",2002
163,False,False,64,"(0.4, 0.3, 0.3)",128,4,0,20,1e-05,0.0001,100,0.01,2.0,0.1,0.01,0.01,0.001,0.3,0.05,,0.0,1000,2,128,0,8.41,"[0.6153, 0.6534]","[None, None]",2003
164,False,False,64,"(0.4, 0.3, 0.3)",128,4,0,20,1e-05,0.0001,100,0.01,2.0,0.1,0.01,0.01,0.001,0.3,0.05,,0.0,1000,4,256,0,17.52,"[0.5227, 0.7033, 0.6754, 0.6902]","[None, None, None, None]",2004
165,False,False,64,"(0.4, 0.3, 0.3)",128,4,0,20,1e-05,0.0001,100,0.01,2.0,0.1,0.01,0.01,0.001,0.3,0.05,,0.0,1000,2,128,0,8.37,"[0.6778, 0.6878]","[None, None]",2005
166,False,False,64,"(0.4, 0.3, 0.3)",128,4,0,20,1e-05,0.0001,100,0.01,2.0,0.1,0.01,0.01,0.001,0.3,0.05,,0.0,1000,2,128,0,8.33,"[0.5867, 0.7317]","[None, None]",2006
167,False,False,64,"(0.4, 0.3, 0.3)",128,4,0,20,1e-05,0.0001,100,0.01,2.0,0.1,0.01,0.01,0.001,0.3,0.05,,0.0,1000,4,256,0,17.56,"[0.4763, 0.6894, 0.7058, 0.7207]","[None, None, None, None]",2007
168,False,False,64,"(0.4, 0.3, 0.3)",128,4,0,20,1e-05,0.0001,100,0.01,2.0,0.1,0.01,0.01,0.001,0.3,0.05,,0.0,1000,2,128,0,8.36,"[0.6108, 0.6516]","[None, None]",2008
169,False,False,64,"(0.4, 0.3, 0.3)",128,4,0,20,1e-05,0.0001,100,0.01,2.0,0.1,0.01,0.01,0.001,0.3,0.05,,0.0,1000,3,192,0,13.08,"[0.6542, 0.7198, 0.7027]","[None, None, None]",2009
170,False,False,64,"(0.4, 0.3, 0.3)",128,4,0,20,1e-05,0.0001,100,0.01,2.0,0.1,0.01,0.01,0.001,0.3,0.05,,0.0,1000,3,192,0,13.27,"[0.5333, 0.6801, 0.7082]","[None, None, None]",2010
171,False,False,64,"(0.4, 0.3, 0.3)",128,4,0,20,1e-05,0.0001,100,0.01,2.0,0.1,0.01,0.01,0.001,0.3,0.05,,0.0,1000,4,256,0,18.16,"[0.6476, 0.6898, 0.6872, 0.7]","[None, None, None, None]",2011
172,False,False,64,"(0.4, 0.3, 0.3)",128,4,0,20,1e-05,0.0001,100,0.01,2.0,0.1,0.01,0.01,0.001,0.3,0.05,,0.0,1000,3,192,0,13.17,"[0.6331, 0.6244, 0.6659]","[None, None, None]",2012
