,measure_size,scratch,encoder_freeze,encoder_lr,cost_predictor_lr,weights,sampling_seed,rank_warmup_epochs,grad_num,rand_num,phase,used_time,train_size,top-1,val_reg_r2,val_rank_r2
71,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2011,0,2,0,3,10.22,144,0,"[0.6693, 0.6775, 0.6576]","[None, None, None]"
72,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2012,0,2,0,2,6.57,96,0,"[0.6544, 0.6963]","[None, None]"
73,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2013,0,2,0,6,21.32,288,0,"[0.5965, 0.7133, 0.7245, 0.7336, 0.7316, 0.7401]","[None, None, None, None, None, None]"
74,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2014,0,2,0,2,6.58,96,0,"[0.626, 0.5483]","[None, None]"
75,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2015,0,2,0,1,3.26,48,0,[0.6314],[None]
76,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2016,0,2,0,5,17.75,240,0,"[0.7034, 0.7209, 0.7124, 0.7131, 0.6968]","[None, None, None, None, None]"
77,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2017,0,2,0,4,13.48,192,0,"[0.5937, 0.7305, 0.7257, 0.743]","[None, None, None, None]"
78,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2018,0,2,0,1,3.14,48,0,[0.5989],[None]
79,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2019,0,2,0,3,9.94,144,0,"[0.5678, 0.7066, 0.7595]","[None, None, None]"
80,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2000,0,2,0,5,17.74,240,0,"[0.7002, 0.7119, 0.7092, 0.7064, 0.7097]","[None, None, None, None, None]"
81,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2001,0,2,0,7,25.87,336,0,"[0.5546, 0.6845, 0.7226, 0.7252, 0.7596, 0.7472, 0.7505]","[None, None, None, None, None, None, None]"
82,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2002,0,2,0,3,9.89,144,0,"[0.6865, 0.696, 0.7377]","[None, None, None]"
83,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2003,0,2,0,6,21.06,288,0,"[0.6393, 0.6383, 0.712, 0.6927, 0.6732, 0.6909]","[None, None, None, None, None, None]"
84,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2004,0,2,0,4,13.89,192,0,"[0.6622, 0.648, 0.6993, 0.6882]","[None, None, None, None]"
85,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2005,0,2,0,2,6.68,96,0,"[0.5866, 0.6483]","[None, None]"
86,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2006,0,2,0,6,21.32,288,0,"[0.6223, 0.6778, 0.6977, 0.7165, 0.7001, 0.703]","[None, None, None, None, None, None]"
87,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2007,0,2,0,5,17.51,240,0,"[0.6099, 0.7122, 0.7222, 0.6687, 0.6726]","[None, None, None, None, None]"
88,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2008,0,2,0,7,25.55,336,0,"[0.4371, 0.6411, 0.7504, 0.7413, 0.7419, 0.7292, 0.7081]","[None, None, None, None, None, None, None]"
89,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2009,0,2,0,8,29.16,384,0,"[0.6768, 0.6765, 0.699, 0.7178, 0.7221, 0.7195, 0.7357, 0.7274]","[None, None, None, None, None, None, None, None]"
90,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2010,0,2,0,6,21.06,288,0,"[0.6728, 0.6833, 0.7295, 0.743, 0.7271, 0.6987]","[None, None, None, None, None, None]"
91,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2011,0,2,0,4,13.43,192,0,"[0.6585, 0.7125, 0.721, 0.7304]","[None, None, None, None]"
92,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2012,0,2,0,1,3.14,48,0,[0.6606],[None]
93,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2013,0,2,0,5,17.68,240,0,"[0.5991, 0.7007, 0.7183, 0.7153, 0.7253]","[None, None, None, None, None]"
94,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2014,0,2,0,2,6.49,96,0,"[0.6265, 0.5633]","[None, None]"
95,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2015,0,2,0,1,3.15,48,0,[0.6148],[None]
96,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2016,0,2,0,5,17.5,240,0,"[0.6984, 0.6894, 0.6826, 0.7248, 0.702]","[None, None, None, None, None]"
97,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2017,0,2,0,2,6.69,96,0,"[0.5822, 0.7364]","[None, None]"
98,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2018,0,2,0,1,3.26,48,0,[0.6045],[None]
99,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2019,0,2,0,3,10.11,144,0,"[0.5609, 0.724, 0.7633]","[None, None, None]"
100,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2000,0,2,0,5,17.48,240,0,"[0.7002, 0.7119, 0.7092, 0.7064, 0.7097]","[None, None, None, None, None]"
101,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2001,0,2,0,7,25.46,336,0,"[0.5546, 0.6845, 0.7226, 0.7252, 0.7596, 0.7472, 0.7505]","[None, None, None, None, None, None, None]"
102,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2002,0,2,0,3,10.09,144,0,"[0.6865, 0.696, 0.7377]","[None, None, None]"
103,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2003,0,2,0,6,21.28,288,0,"[0.6393, 0.6383, 0.712, 0.6927, 0.6732, 0.6909]","[None, None, None, None, None, None]"
104,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2004,0,2,0,4,13.75,192,0,"[0.6622, 0.648, 0.6993, 0.6882]","[None, None, None, None]"
105,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2005,0,2,0,2,6.45,96,0,"[0.5866, 0.6483]","[None, None]"
106,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2006,0,2,0,6,21.66,288,0,"[0.6223, 0.6778, 0.6977, 0.7165, 0.7001, 0.703]","[None, None, None, None, None, None]"
107,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2007,0,2,0,5,17.69,240,0,"[0.6099, 0.7122, 0.7222, 0.6687, 0.6726]","[None, None, None, None, None]"
108,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2008,0,2,0,7,25.47,336,0,"[0.4371, 0.6411, 0.7504, 0.7413, 0.7419, 0.7292, 0.7081]","[None, None, None, None, None, None, None]"
109,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2009,0,2,0,8,29.86,384,0,"[0.6768, 0.6765, 0.699, 0.7178, 0.7221, 0.7195, 0.7357, 0.7274]","[None, None, None, None, None, None, None, None]"
110,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2010,0,2,0,6,21.35,288,0,"[0.6728, 0.6833, 0.7295, 0.743, 0.7271, 0.6987]","[None, None, None, None, None, None]"
111,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2011,0,2,0,4,13.73,192,0,"[0.6585, 0.7125, 0.721, 0.7304]","[None, None, None, None]"
112,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2012,0,2,0,1,3.14,48,0,[0.6606],[None]
113,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2013,0,2,0,5,17.67,240,0,"[0.5991, 0.7007, 0.7183, 0.7153, 0.7253]","[None, None, None, None, None]"
114,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2014,0,2,0,2,6.54,96,0,"[0.6265, 0.5633]","[None, None]"
115,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2015,0,2,0,1,3.15,48,0,[0.6148],[None]
116,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2016,0,2,0,5,17.68,240,0,"[0.6984, 0.6894, 0.6826, 0.7248, 0.702]","[None, None, None, None, None]"
117,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2017,0,2,0,2,6.7,96,0,"[0.5822, 0.7364]","[None, None]"
118,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2018,0,2,0,1,3.21,48,0,[0.6045],[None]
119,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2019,0,2,0,3,10.08,144,0,"[0.5609, 0.724, 0.7633]","[None, None, None]"
120,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2000,100,2,0,5,17.26,240,0,"[0.662, 0.6576, 0.7078, 0.7261, 0.7366]","[None, None, None, None, None]"
121,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2001,100,2,0,6,21.63,288,0,"[0.5861, 0.66, 0.7318, 0.7561, 0.7449, 0.732]","[None, None, None, None, None, None]"
122,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2002,100,2,0,4,13.89,192,0,"[0.685, 0.6878, 0.7237, 0.744]","[None, None, None, None]"
123,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2003,100,2,0,3,10.33,144,0,"[0.6147, 0.6208, 0.6611]","[None, None, None]"
124,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2004,100,2,0,3,10.25,144,0,"[0.6258, 0.6397, 0.6734]","[None, None, None]"
125,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2005,100,2,0,2,6.68,96,0,"[0.6189, 0.6284]","[None, None]"
126,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2006,100,2,0,3,10.26,144,0,"[0.5856, 0.6441, 0.6768]","[None, None, None]"
127,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2007,100,2,0,4,13.9,192,0,"[0.5905, 0.6749, 0.6574, 0.682]","[None, None, None, None]"
128,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2008,100,2,0,6,21.82,288,0,"[0.4405, 0.6069, 0.6722, 0.6982, 0.6953, 0.7312]","[None, None, None, None, None, None]"
129,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2009,100,2,0,6,21.75,288,0,"[0.673, 0.6796, 0.6974, 0.728, 0.728, 0.7207]","[None, None, None, None, None, None]"
130,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2010,100,2,0,6,21.75,288,0,"[0.6727, 0.6983, 0.7234, 0.7412, 0.7439, 0.7538]","[None, None, None, None, None, None]"
131,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2011,100,2,0,4,13.51,192,0,"[0.6701, 0.6511, 0.6896, 0.7148]","[None, None, None, None]"
132,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2012,100,2,0,2,6.45,96,0,"[0.6205, 0.6629]","[None, None]"
133,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2013,100,2,0,8,29.61,384,0,"[0.5668, 0.6698, 0.6765, 0.7105, 0.7465, 0.7653, 0.7547, 0.7449]","[None, None, None, None, None, None, None, None]"
134,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2014,100,2,0,2,6.44,96,0,"[0.5805, 0.5368]","[None, None]"
135,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2015,100,2,0,1,3.15,48,0,[0.6152],[None]
