epochs,lr,lambda_kld,lambda_reg,lambda_pair,lambda_smooth,lambda_infonce,S,neigh_mean_test,rand_mean_test,neigh_best_mean_test,rand_best_mean_test,win_rate_mean,win_rate_best,avg_gain_mean_test,avg_gain_best_test,seed_mean_train
1000,5e-05,0.0,0.1,0.0,0.1,0.1,184.0,8.174515724182129,5.903433799743652,8.181674003601074,8.399444580078125,1.0,0.34782608695652173,2.2710814476013184,-0.21777024865150452,8.242144584655762
1000,5e-05,0.0,0.1,0.0,0.1,0.2,184.0,8.169839859008789,5.903433799743652,8.17615795135498,8.399444580078125,1.0,0.32065217391304346,2.2664058208465576,-0.2232864648103714,8.242144584655762
1000,5e-05,0.0,0.1,0.1,0.0,0.0,184.0,8.12431526184082,5.903433799743652,8.133228302001953,8.399444580078125,0.9945652173913043,0.358695652173913,2.220881700515747,-0.2662156820297241,8.242144584655762
1000,5e-05,0.0,0.1,0.1,0.0,0.01,184.0,8.158814430236816,5.903433799743652,8.176307678222656,8.399444580078125,0.9945652173913043,0.3695652173913043,2.255380630493164,-0.2231360375881195,8.242144584655762
1000,5e-05,0.0,0.1,0.1,0.0,0.1,184.0,8.176253318786621,5.903433799743652,8.18360710144043,8.399444580078125,1.0,0.3423913043478261,2.272819757461548,-0.21583706140518188,8.242144584655762
1000,5e-05,0.0,0.1,0.1,0.0,0.2,184.0,8.179198265075684,5.903433799743652,8.1865873336792,8.399444580078125,1.0,0.33695652173913043,2.275764226913452,-0.2128569632768631,8.242144584655762
1000,5e-05,0.0,0.1,0.1,0.01,0.0,184.0,8.139996528625488,5.903433799743652,8.167472839355469,8.399444580078125,1.0,0.34782608695652173,2.2365620136260986,-0.2319711446762085,8.242144584655762
1000,5e-05,0.0,0.1,0.1,0.01,0.01,184.0,8.138952255249023,5.903433799743652,8.167633056640625,8.399444580078125,1.0,0.3641304347826087,2.23551869392395,-0.231811061501503,8.242144584655762
1000,5e-05,0.0,0.1,0.1,0.01,0.1,184.0,8.185016632080078,5.903433799743652,8.188928604125977,8.399444580078125,1.0,0.3423913043478261,2.281583070755005,-0.21051497757434845,8.242144584655762
1000,5e-05,0.0,0.1,0.1,0.01,0.2,184.0,8.185342788696289,5.903433799743652,8.189251899719238,8.399444580078125,1.0,0.3423913043478261,2.2819085121154785,-0.21019242703914642,8.242144584655762
1000,5e-05,0.0,0.1,0.1,0.1,0.0,184.0,8.135056495666504,5.903433799743652,8.15263557434082,8.399444580078125,0.9945652173913043,0.3423913043478261,2.2316231727600098,-0.24680911004543304,8.242144584655762
1000,5e-05,0.0,0.1,0.1,0.1,0.01,184.0,8.124337196350098,5.903433799743652,8.147141456604004,8.399444580078125,0.9945652173913043,0.3641304347826087,2.2209033966064453,-0.252302885055542,8.242144584655762
1000,5e-05,0.0,0.1,0.1,0.1,0.1,184.0,8.18692398071289,5.903433799743652,8.193449974060059,8.399444580078125,1.0,0.3423913043478261,2.2834908962249756,-0.20599408447742462,8.242144584655762
1000,5e-05,0.0,0.1,0.1,0.1,0.2,184.0,8.17541217803955,5.903433799743652,8.187167167663574,8.399444580078125,1.0,0.33152173913043476,2.2719788551330566,-0.2122766524553299,8.242144584655762
1000,5e-05,0.0,0.1,0.5,0.0,0.0,184.0,8.144759178161621,5.903433799743652,8.161738395690918,8.399444580078125,0.9945652173913043,0.34782608695652173,2.241326093673706,-0.23770585656166077,8.242144584655762
1000,5e-05,0.0,0.1,0.5,0.0,0.01,184.0,8.154211044311523,5.903433799743652,8.164392471313477,8.399444580078125,1.0,0.3532608695652174,2.250777006149292,-0.2350507378578186,8.242144584655762
1000,5e-05,0.0,0.1,0.5,0.0,0.1,184.0,8.173362731933594,5.903433799743652,8.18497371673584,8.399444580078125,1.0,0.34782608695652173,2.2699286937713623,-0.21447016298770905,8.242144584655762
1000,5e-05,0.0,0.1,0.5,0.0,0.2,184.0,8.188804626464844,5.903433799743652,8.196038246154785,8.399444580078125,1.0,0.33152173913043476,2.2853708267211914,-0.20340579748153687,8.242144584655762
1000,5e-05,0.0,0.1,0.5,0.01,0.0,184.0,8.140734672546387,5.903433799743652,8.152074813842773,8.399444580078125,0.9945652173913043,0.34782608695652173,2.23730206489563,-0.24736955761909485,8.242144584655762
