epochs,lr,lambda_kld,lambda_reg,lambda_pair,lambda_smooth,lambda_infonce,num_pairs,tv_mean,tv_median,spearman_mean,spearman_median,unique_mean,unique_median
1000,5e-05,0.01,0.01,0.1,0.1,0.01,200.0,1.8808,1.6228,-0.0527,-0.4136,5.835,6.0
1000,5e-05,0.01,0.01,0.1,0.1,0.1,200.0,1.9923,1.7282,-0.069,-0.4455,6.64,7.0
1000,5e-05,0.01,0.01,0.1,0.1,0.2,200.0,1.6965,1.4355,-0.0609,-0.2636,6.585,7.0
1000,5e-05,0.01,0.01,0.5,0.0,0.0,200.0,1.7404,1.5032,-0.0588,-0.3818,6.025,6.0
1000,5e-05,0.01,0.01,0.5,0.0,0.01,200.0,1.8424,1.5806,-0.0818,-0.3182,6.185,6.0
1000,5e-05,0.01,0.01,0.5,0.0,0.1,200.0,1.9319,1.5919,-0.057,-0.2318,6.67,7.0
1000,5e-05,0.01,0.01,0.5,0.0,0.2,104.0,1.808,1.3745,-0.0838,-0.2591,6.7212,6.0
1000,5e-05,0.01,0.01,0.5,0.01,0.0,200.0,1.6739,1.5722,-0.0595,-0.4318,6.155,6.0
1000,5e-05,0.01,0.01,0.5,0.01,0.01,200.0,1.9631,1.6939,-0.1031,-0.4136,6.105,6.0
1000,5e-05,0.01,0.01,0.5,0.01,0.1,200.0,1.7679,1.5164,-0.1042,-0.3545,6.74,7.0
1000,5e-05,0.01,0.01,0.5,0.01,0.2,138.0,1.8835,1.8219,0.0224,0.0091,6.6812,7.0
1000,5e-05,0.01,0.01,0.5,0.1,0.0,200.0,1.6414,1.4519,-0.0455,-0.3182,6.1,6.0
1000,5e-05,0.01,0.01,0.5,0.1,0.01,200.0,1.8553,1.5663,-0.0863,-0.3273,6.135,6.0
1000,5e-05,0.01,0.01,0.5,0.1,0.1,200.0,1.7651,1.6831,-0.11,-0.3545,6.47,6.0
1000,5e-05,0.01,0.01,0.5,0.1,0.2,144.0,2.0104,1.9371,0.0502,0.1091,6.7083,7.0
1000,5e-05,0.01,0.01,1.0,0.0,0.0,200.0,1.6635,1.3212,-0.0447,-0.2636,5.835,6.0
1000,5e-05,0.01,0.01,1.0,0.0,0.01,200.0,1.567,1.2854,0.0348,0.0909,5.875,6.0
1000,5e-05,0.01,0.01,1.0,0.0,0.1,102.0,2.2209,2.1787,0.0343,0.3455,7.0,7.0
1000,5e-05,0.01,0.01,1.0,0.0,0.2,54.0,1.5911,1.6055,-0.0025,0.0455,6.9444,7.0
1000,5e-05,0.01,0.01,1.0,0.01,0.0,200.0,1.7134,1.463,-0.0625,-0.3455,5.925,6.0
1000,5e-05,0.01,0.01,1.0,0.01,0.01,200.0,1.8083,1.7395,-0.0108,-0.1045,6.195,6.0
1000,5e-05,0.01,0.01,1.0,0.01,0.1,112.0,2.1408,2.0875,0.1881,0.4545,6.6875,7.0
