epochs,lr,lambda_kld,lambda_reg,lambda_pair,lambda_smooth,lambda_infonce,num_pairs,tv_mean,tv_median,spearman_mean,spearman_median,unique_mean,unique_median
1000,5e-05,0.0,0.5,0.0,0.01,0.0,200.0,1.5302,1.5843,0.1831,0.6455,6.725,7.0
1000,5e-05,0.0,0.5,0.0,0.01,0.01,200.0,1.5291,1.6202,0.1043,0.5273,6.665,6.0
1000,5e-05,0.0,0.5,0.0,0.01,0.1,200.0,2.1408,2.1957,0.041,0.5545,8.445,9.0
1000,5e-05,0.0,0.5,0.0,0.01,0.2,200.0,2.1077,2.1685,0.0021,-0.6409,8.63,9.0
1000,5e-05,0.0,0.5,0.0,0.1,0.0,200.0,1.572,1.5688,0.1479,0.6045,6.81,7.0
1000,5e-05,0.0,0.5,0.0,0.1,0.01,200.0,1.5953,1.6578,0.1938,0.6636,6.675,7.0
1000,5e-05,0.0,0.5,0.0,0.1,0.1,200.0,2.26,2.2193,-0.0201,-0.7864,8.595,9.0
1000,5e-05,0.0,0.5,0.0,0.1,0.2,200.0,2.1544,2.2234,-0.0084,-0.6682,8.88,9.0
1000,5e-05,0.0,0.5,0.1,0.0,0.0,200.0,1.5776,1.6728,0.1483,0.5864,6.42,6.0
1000,5e-05,0.0,0.5,0.1,0.0,0.01,200.0,1.6141,1.7143,0.113,0.5455,6.755,7.0
1000,5e-05,0.0,0.5,0.1,0.0,0.1,200.0,2.2513,2.2312,-0.029,-0.8682,8.56,8.0
1000,5e-05,0.0,0.5,0.1,0.0,0.2,200.0,2.1256,2.1731,-0.0076,-0.6955,8.78,9.0
1000,5e-05,0.0,0.5,0.1,0.01,0.0,200.0,1.5597,1.6604,0.2146,0.6864,6.54,6.0
1000,5e-05,0.0,0.5,0.1,0.01,0.01,200.0,1.5834,1.6193,0.1021,0.55,6.66,7.0
1000,5e-05,0.0,0.5,0.1,0.01,0.1,200.0,2.238,2.2247,-0.0291,-0.8182,8.77,9.0
1000,5e-05,0.0,0.5,0.1,0.01,0.2,200.0,2.1232,2.1737,0.0009,-0.6955,8.845,9.0
1000,5e-05,0.0,0.5,0.1,0.1,0.0,200.0,1.5684,1.6977,0.1861,0.6727,6.64,7.0
1000,5e-05,0.0,0.5,0.1,0.1,0.01,200.0,1.5443,1.6601,0.1186,0.5909,6.685,7.0
1000,5e-05,0.0,0.5,0.1,0.1,0.1,200.0,2.1936,2.2144,-0.014,-0.6727,8.445,9.0
1000,5e-05,0.0,0.5,0.1,0.1,0.2,200.0,2.1447,2.1847,0.0044,-0.6818,9.0,9.0
1000,5e-05,0.0,0.5,0.5,0.0,0.0,200.0,1.5799,1.6894,0.1566,0.6091,6.765,7.0
1000,5e-05,0.0,0.5,0.5,0.0,0.01,200.0,1.5493,1.5304,0.191,0.6682,6.68,7.0
1000,5e-05,0.0,0.5,0.5,0.0,0.1,200.0,2.0905,2.1957,0.0606,0.5591,8.365,8.0
1000,5e-05,0.0,0.5,0.5,0.0,0.2,200.0,2.1613,2.2187,0.0041,-0.6955,8.905,9.0
1000,5e-05,0.0,0.5,0.5,0.01,0.0,200.0,1.5918,1.6181,0.2135,0.6545,6.85,7.0
1000,5e-05,0.0,0.5,0.5,0.01,0.01,200.0,1.6055,1.5709,0.2071,0.6455,6.885,7.0
1000,5e-05,0.0,0.5,0.5,0.01,0.1,200.0,2.1012,2.2044,0.0038,0.05,8.26,8.0
1000,5e-05,0.0,0.5,0.5,0.01,0.2,200.0,2.1679,2.2216,0.0036,-0.7091,9.025,9.0
1000,5e-05,0.0,0.5,0.5,0.1,0.0,200.0,1.6016,1.6986,0.1709,0.6409,6.85,7.0
1000,5e-05,0.0,0.5,0.5,0.1,0.01,200.0,1.555,1.5317,0.1768,0.6409,6.885,7.0
1000,5e-05,0.0,0.5,0.5,0.1,0.1,200.0,2.0846,2.1901,-0.0272,-0.4455,8.28,8.0
1000,5e-05,0.0,0.5,0.5,0.1,0.2,200.0,2.164,2.2102,-0.0276,-0.7773,9.0,9.0
1000,5e-05,0.0,0.5,1.0,0.0,0.0,200.0,1.5414,1.6145,0.1694,0.6227,6.6,6.0
1000,5e-05,0.0,0.5,1.0,0.0,0.01,200.0,1.5364,1.5201,0.165,0.6,6.665,7.0
1000,5e-05,0.0,0.5,1.0,0.0,0.1,200.0,2.1057,2.1954,0.0289,0.5227,8.345,8.0
1000,5e-05,0.0,0.5,1.0,0.0,0.2,200.0,2.1724,2.2243,-0.0368,-0.7818,9.105,9.0
1000,5e-05,0.0,0.5,1.0,0.01,0.0,200.0,1.5821,1.5893,0.1301,0.6091,6.65,7.0
1000,5e-05,0.0,0.5,1.0,0.01,0.01,200.0,1.526,1.4955,0.1832,0.6182,6.575,7.0
1000,5e-05,0.0,0.5,1.0,0.01,0.1,200.0,2.141,2.2024,0.0234,0.5091,8.645,9.0
1000,5e-05,0.0,0.5,1.0,0.01,0.2,200.0,2.1839,2.2243,-0.017,-0.7136,9.225,9.0
1000,5e-05,0.0,0.5,1.0,0.1,0.0,200.0,1.5804,1.6832,0.1317,0.5818,6.745,7.0
1000,5e-05,0.0,0.5,1.0,0.1,0.01,200.0,1.5367,1.4906,0.1785,0.6318,6.62,7.0
