epochs,lr,lambda_kld,lambda_reg,lambda_pair,lambda_smooth,lambda_infonce,num_pairs,tv_mean,tv_median,spearman_mean,spearman_median,unique_mean,unique_median,mono_viol_mean,mono_viol_median
1000,5e-05,0.0,0.1,1.0,0.01,0.0,200.0,4.4616,4.4571,-0.9526,-0.9636,8.425,8.0,0.515,0.0
1000,5e-05,0.0,0.1,1.0,0.01,0.01,200.0,4.4972,4.3989,-0.951,-0.9636,8.355,8.0,0.61,0.0
1000,5e-05,0.0,0.1,1.0,0.01,0.1,200.0,4.4321,4.4729,-0.9894,-0.9909,10.135,10.0,0.39,0.0
1000,5e-05,0.0,0.1,1.0,0.01,0.2,200.0,4.5089,4.4472,-0.9933,-0.9955,10.375,11.0,0.285,0.0
1000,5e-05,0.0,0.1,1.0,0.1,0.0,200.0,4.5395,4.4849,-0.9528,-0.9727,8.305,8.0,0.49,0.0
1000,5e-05,0.0,0.1,1.0,0.1,0.01,200.0,4.5375,4.4613,-0.9494,-0.9636,8.33,8.0,0.605,0.0
1000,5e-05,0.0,0.1,1.0,0.1,0.1,200.0,4.411,4.3908,-0.9908,-0.9909,9.985,10.0,0.295,0.0
1000,5e-05,0.0,0.1,1.0,0.1,0.2,200.0,4.5302,4.5156,-0.995,-1.0,10.365,11.0,0.225,0.0
1000,5e-05,0.0,0.5,0.0,0.0,0.0,200.0,4.5321,4.4652,-0.9872,-0.9909,9.795,10.0,0.225,0.0
1000,5e-05,0.0,0.5,0.0,0.0,0.01,200.0,4.5104,4.4303,-0.988,-0.9909,9.65,10.0,0.22,0.0
1000,5e-05,0.0,0.5,0.0,0.0,0.1,200.0,4.5188,4.4978,-0.9914,-0.9909,10.375,11.0,0.375,0.0
1000,5e-05,0.0,0.5,0.0,0.0,0.2,200.0,4.5697,4.5749,-0.995,-1.0,10.65,11.0,0.35,0.0
1000,5e-05,0.0,0.5,0.0,0.01,0.0,200.0,4.4714,4.3871,-0.983,-0.9909,9.68,10.0,0.22,0.0
1000,5e-05,0.0,0.5,0.0,0.01,0.01,200.0,4.4618,4.3574,-0.9823,-0.9909,9.6,10.0,0.215,0.0
1000,5e-05,0.0,0.5,0.0,0.01,0.1,200.0,4.5315,4.4992,-0.9911,-0.9909,10.305,10.0,0.34,0.0
1000,5e-05,0.0,0.5,0.0,0.01,0.2,200.0,4.563,4.5241,-0.9946,-1.0,10.66,11.0,0.39,0.0
1000,5e-05,0.0,0.5,0.0,0.1,0.0,200.0,4.4974,4.3907,-0.9835,-0.9909,9.675,10.0,0.24,0.0
1000,5e-05,0.0,0.5,0.0,0.1,0.01,200.0,4.4343,4.3634,-0.9824,-0.9909,9.59,10.0,0.22,0.0
1000,5e-05,0.0,0.5,0.0,0.1,0.1,200.0,4.5096,4.5055,-0.9918,-1.0,10.31,10.0,0.325,0.0
1000,5e-05,0.0,0.5,0.0,0.1,0.2,200.0,4.5719,4.5087,-0.994,-1.0,10.685,11.0,0.395,0.0
1000,5e-05,0.0,0.5,0.1,0.0,0.0,200.0,4.5559,4.4743,-0.9884,-0.9909,9.68,10.0,0.21,0.0
1000,5e-05,0.0,0.5,0.1,0.0,0.01,200.0,4.4748,4.431,-0.9855,-0.9909,9.58,10.0,0.285,0.0
1000,5e-05,0.0,0.5,0.1,0.0,0.1,200.0,4.4989,4.5035,-0.991,-1.0,10.375,11.0,0.36,0.0
