epochs,lr,lambda_kld,lambda_reg,lambda_pair,lambda_smooth,lambda_infonce,val_recon_r2,val_reg_r2
1000,5e-05,0.0,0.1,1.0,0.0,0.1,0.9492352842566959,0.9149957182284328
1000,5e-05,0.0,0.1,1.0,0.0,0.2,0.9465696329632707,0.9190112033020689
1000,5e-05,0.0,0.1,1.0,0.01,0.0,0.9410274578830582,0.914090946264952
1000,5e-05,0.0,0.1,1.0,0.01,0.01,0.9377008870203261,0.9120450261937182
1000,5e-05,0.0,0.1,1.0,0.01,0.1,0.9461535222464982,0.9162650791384535
1000,5e-05,0.0,0.1,1.0,0.01,0.2,0.9469496500305676,0.9199026702097932
1000,5e-05,0.0,0.1,1.0,0.1,0.0,0.9392405141523187,0.9150075078762571
1000,5e-05,0.0,0.1,1.0,0.1,0.01,0.9335427243021199,0.913576155895102
1000,5e-05,0.0,0.1,1.0,0.1,0.1,0.9469730011928437,0.9161221776712194
1000,5e-05,0.0,0.1,1.0,0.1,0.2,0.9475207545762099,0.9197326876327601
1000,5e-05,0.0,0.5,0.0,0.0,0.0,0.8815513545774132,0.910672180020813
1000,5e-05,0.0,0.5,0.0,0.0,0.01,0.8814568993876426,0.9104190788599805
1000,5e-05,0.0,0.5,0.0,0.0,0.1,0.8834604574340567,0.9124066643624379
1000,5e-05,0.0,0.5,0.0,0.0,0.2,0.8903188960830029,0.9120966589886267
