,measure_size,scratch,encoder_freeze,encoder_lr,cost_predictor_lr,rank_warmup_epochs,weights,uncertainty_topk,grad_num,rand_num,phase,used_time,train_size,top-1,val_reg_r2,val_rank_r2,sampling_seed,lambda_pair,lambda_infonce,tau,tau_c,beta,gamma,noise_std,margin_scale,lambda_reg,feature_predictor_lr,epochs
9363,48,True,False,1e-05,1e-05,100,"(0.3, 0.3, 0.4)",0,2,0,1,3.41,48,0.0,[0.4218],[None],2009,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9364,48,True,False,1e-05,1e-05,100,"(0.3, 0.3, 0.4)",0,2,0,3,10.34,144,0.0,"[0.5386, 0.1598, 0.1474]","[None, None, None]",2010,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9365,48,True,False,1e-05,1e-05,100,"(0.3, 0.3, 0.4)",0,2,0,3,10.45,144,0.0,"[0.3172, 0.0295, -0.0956]","[None, None, None]",2011,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9366,48,True,False,1e-05,1e-05,100,"(0.3, 0.3, 0.4)",0,2,0,4,14.1,192,0.0,"[0.1502, -0.0742, -0.0416, 0.0233]","[None, None, None, None]",2012,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9367,48,True,False,1e-05,1e-05,100,"(0.3, 0.3, 0.4)",0,2,0,3,10.36,144,0.0,"[0.4271, 0.0952, 0.1061]","[None, None, None]",2013,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9368,48,True,False,1e-05,1e-05,100,"(0.3, 0.3, 0.4)",0,2,0,2,6.71,96,0.0,"[0.4153, 0.1275]","[None, None]",2014,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9369,48,True,False,1e-05,1e-05,100,"(0.3, 0.3, 0.4)",0,2,0,1,3.26,48,0.0,[0.3791],[None],2015,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9370,48,True,False,1e-05,1e-05,100,"(0.3, 0.3, 0.4)",0,2,0,2,6.57,96,0.0,"[0.3202, 0.2757]","[None, None]",2016,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9371,48,True,False,1e-05,1e-05,100,"(0.3, 0.3, 0.4)",0,2,0,4,13.98,192,0.0,"[0.4816, 0.205, 0.1239, 0.0328]","[None, None, None, None]",2017,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9372,48,True,False,1e-05,1e-05,100,"(0.3, 0.3, 0.4)",0,2,0,4,14.21,192,0.0,"[0.1533, 0.1239, 0.0658, 0.0291]","[None, None, None, None]",2018,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9373,48,True,False,1e-05,1e-05,100,"(0.3, 0.3, 0.4)",0,2,0,2,6.54,96,0.0,"[0.4125, 0.0172]","[None, None]",2019,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9374,48,True,False,1e-05,1e-05,200,"(0.3, 0.3, 0.4)",0,2,0,1,3.23,48,1.0,[0.22],[None],2000,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9375,48,True,False,1e-05,1e-05,200,"(0.3, 0.3, 0.4)",0,2,0,5,17.64,240,0.0,"[0.5666, 0.3427, 0.2603, 0.1405, 0.0948]","[None, None, None, None, None]",2001,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9376,48,True,False,1e-05,1e-05,200,"(0.3, 0.3, 0.4)",0,2,0,2,6.52,96,0.0,"[0.4419, 0.2377]","[None, None]",2002,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9377,48,True,False,1e-05,1e-05,200,"(0.3, 0.3, 0.4)",0,2,0,2,6.52,96,0.0,"[0.3509, 0.131]","[None, None]",2003,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9378,48,True,False,1e-05,1e-05,200,"(0.3, 0.3, 0.4)",0,2,0,1,3.18,48,0.0,[0.4087],[None],2004,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9379,48,True,False,1e-05,1e-05,200,"(0.3, 0.3, 0.4)",0,2,0,4,13.91,192,0.0,"[0.3432, 0.449, 0.4262, 0.3496]","[None, None, None, None]",2005,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9380,48,True,False,1e-05,1e-05,200,"(0.3, 0.3, 0.4)",0,2,0,2,6.58,96,1.0,"[0.4355, 0.1714]","[None, None]",2006,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9381,48,True,False,1e-05,1e-05,200,"(0.3, 0.3, 0.4)",0,2,0,4,13.68,192,0.0,"[0.5031, 0.2902, 0.184, 0.1735]","[None, None, None, None]",2007,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9382,48,True,False,1e-05,1e-05,200,"(0.3, 0.3, 0.4)",0,2,0,4,13.85,192,0.0,"[0.5175, 0.3517, 0.2237, 0.2554]","[None, None, None, None]",2008,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9383,48,True,False,1e-05,1e-05,200,"(0.3, 0.3, 0.4)",0,2,0,1,3.23,48,0.0,[0.4671],[None],2009,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9384,48,True,False,1e-05,1e-05,200,"(0.3, 0.3, 0.4)",0,2,0,2,6.55,96,0.0,"[0.5789, 0.3439]","[None, None]",2010,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9385,48,True,False,1e-05,1e-05,200,"(0.3, 0.3, 0.4)",0,2,0,3,10.18,144,0.0,"[0.3455, 0.0708, -0.009]","[None, None, None]",2011,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9386,48,True,False,1e-05,1e-05,200,"(0.3, 0.3, 0.4)",0,2,0,2,6.69,96,0.0,"[0.3542, 0.1779]","[None, None]",2012,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9387,48,True,False,1e-05,1e-05,200,"(0.3, 0.3, 0.4)",0,2,0,4,13.92,192,0.0,"[0.4476, 0.1509, 0.1551, 0.2394]","[None, None, None, None]",2013,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9388,48,True,False,1e-05,1e-05,200,"(0.3, 0.3, 0.4)",0,2,0,2,6.57,96,1.0,"[0.4965, 0.1974]","[None, None]",2014,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9389,48,True,False,1e-05,1e-05,200,"(0.3, 0.3, 0.4)",0,2,0,2,6.74,96,1.0,"[0.4642, 0.3272]","[None, None]",2015,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9390,48,True,False,1e-05,1e-05,200,"(0.3, 0.3, 0.4)",0,2,0,2,6.71,96,0.0,"[0.302, 0.353]","[None, None]",2016,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9391,48,True,False,1e-05,1e-05,200,"(0.3, 0.3, 0.4)",0,2,0,6,21.57,288,0.0,"[0.4821, 0.3233, 0.2645, 0.199, 0.1559, 0.1453]","[None, None, None, None, None, None]",2017,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9392,48,True,False,1e-05,1e-05,200,"(0.3, 0.3, 0.4)",0,2,0,4,13.82,192,0.0,"[0.3537, 0.1953, 0.2028, 0.1272]","[None, None, None, None]",2018,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9393,48,True,False,1e-05,1e-05,200,"(0.3, 0.3, 0.4)",0,2,0,2,6.64,96,0.0,"[0.4823, 0.1907]","[None, None]",2019,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9394,48,False,True,1e-05,0.0001,0,"(0.3, 0.3, 0.4)",0,2,0,1,2.66,48,1.0,[0.398],[None],2000,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9395,48,False,True,1e-05,0.0001,0,"(0.3, 0.3, 0.4)",0,2,0,6,18.47,288,1.0,"[0.5249, 0.4727, 0.4151, 0.3806, 0.3843, 0.3919]","[None, None, None, None, None, None]",2001,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9396,48,False,True,1e-05,0.0001,0,"(0.3, 0.3, 0.4)",0,2,0,3,8.46,144,0.0,"[0.4311, 0.5786, 0.4703]","[None, None, None]",2002,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9397,48,False,True,1e-05,0.0001,0,"(0.3, 0.3, 0.4)",0,2,0,2,5.37,96,1.0,"[0.4756, 0.4184]","[None, None]",2003,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9398,48,False,True,1e-05,0.0001,0,"(0.3, 0.3, 0.4)",0,2,0,1,2.6,48,0.0,[0.5337],[None],2004,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
