scratch,encoder_freeze,measure_size,encoder_lr,cost_predictor_lr,rank_warmup_epochs,weights,uncertainty_topk,T_mc,grad_num,rand_num,phase,used_time,train_size,top-1,val_reg_r2,val_rank_r2,sampling_seed
True,False,64,1e-05,0.0001,200,"(0.7, 0.3, 0.0)",64,20,2,0,3,10.4,192,0,"[0.7381, 0.655, 0.5291]","[None, None, None]",2005
True,False,64,1e-05,0.0001,200,"(0.7, 0.3, 0.0)",64,20,2,0,3,10.36,192,0,"[0.7353, 0.6321, 0.5721]","[None, None, None]",2006
True,False,64,1e-05,0.0001,200,"(0.7, 0.3, 0.0)",64,20,2,0,4,13.99,256,0,"[0.6971, 0.6288, 0.5511, 0.5247]","[None, None, None, None]",2007
True,False,64,1e-05,0.0001,200,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.2,64,0,[0.6914],[None],2008
True,False,64,1e-05,0.0001,200,"(0.7, 0.3, 0.0)",64,20,2,0,3,10.17,192,0,"[0.7225, 0.652, 0.5683]","[None, None, None]",2009
True,False,64,1e-05,0.0001,200,"(0.7, 0.3, 0.0)",64,20,2,0,3,10.15,192,0,"[0.7334, 0.6687, 0.6459]","[None, None, None]",2010
True,False,64,1e-05,0.0001,200,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.19,64,0,[0.7612],[None],2011
True,False,64,1e-05,0.0001,200,"(0.7, 0.3, 0.0)",64,20,2,0,4,13.95,256,0,"[0.6951, 0.5829, 0.5069, 0.484]","[None, None, None, None]",2012
True,False,64,1e-05,0.0001,200,"(0.7, 0.3, 0.0)",64,20,2,0,5,18.03,320,0,"[0.7694, 0.6558, 0.5837, 0.5155, 0.4898]","[None, None, None, None, None]",2013
True,False,64,1e-05,0.0001,200,"(0.7, 0.3, 0.0)",64,20,2,0,3,10.16,192,0,"[0.7489, 0.6649, 0.6266]","[None, None, None]",2014
True,False,64,1e-05,0.0001,200,"(0.7, 0.3, 0.0)",64,20,2,0,7,26.48,448,0,"[0.716, 0.6041, 0.5459, 0.486, 0.4264, 0.3953, 0.3656]","[None, None, None, None, None, None, None]",2015
True,False,64,1e-05,0.0001,200,"(0.7, 0.3, 0.0)",64,20,2,0,4,13.94,256,0,"[0.7469, 0.5722, 0.5067, 0.4731]","[None, None, None, None]",2016
True,False,64,1e-05,0.0001,200,"(0.7, 0.3, 0.0)",64,20,2,0,2,6.6,128,0,"[0.7474, 0.6314]","[None, None]",2017
True,False,64,1e-05,0.0001,200,"(0.7, 0.3, 0.0)",64,20,2,0,2,6.59,128,0,"[0.674, 0.5916]","[None, None]",2018
