,encoder_freeze,scratch,measure_size,weights,uncertainty_topk,grad_num,rand_num,T_mc,encoder_lr,cost_predictor_lr,rank_warmup_epochs,lambda_reg,lambda_pair,lambda_infonce,gamma,beta,noise_std,margin_scale,tau,tau_c,feature_predictor_lr,epochs,phase,train_size,top-1,used_time,val_reg_r2,val_rank_r2,sampling_seed
1301,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.01,0.01,0.001,0.001,0.3,0.1,,0.0,1000,1,64,0,4.05,[0.5821],[None],2001
1302,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.01,0.01,0.001,0.001,0.3,0.1,,0.0,1000,1,64,1,4.05,[0.6946],[None],2002
1303,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.01,0.01,0.001,0.001,0.3,0.1,,0.0,1000,2,128,1,8.36,"[0.6629, 0.723]","[None, None]",2003
1304,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.01,0.01,0.001,0.001,0.3,0.1,,0.0,1000,1,64,0,4.06,[0.7107],[None],2004
1305,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.01,0.01,0.001,0.001,0.3,0.1,,0.0,1000,1,64,0,4.05,[0.6479],[None],2005
1306,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.01,0.01,0.001,0.001,0.3,0.1,,0.0,1000,1,64,0,4.05,[0.662],[None],2006
1307,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.01,0.01,0.001,0.001,0.3,0.1,,0.0,1000,2,128,0,8.44,"[0.6253, 0.6754]","[None, None]",2007
1308,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.01,0.01,0.001,0.001,0.3,0.1,,0.0,1000,1,64,1,4.13,[0.4937],[None],2008
1309,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.01,0.01,0.001,0.001,0.3,0.1,,0.0,1000,1,64,0,4.05,[0.6415],[None],2009
1310,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.01,0.01,0.001,0.001,0.3,0.1,,0.0,1000,1,64,0,4.05,[0.6517],[None],2010
