scratch,encoder_freeze,encoder_lr,cost_predictor_lr,weights,uncertainty_topk,grad_num,rand_num,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
False,False,1e-06,1e-05,"(0.4, 0.3, 0.3)",64,4,0,2,6.98,128,"[-8.2563, -8.168]","[None, None]",2009
False,False,1e-06,1e-05,"(0.4, 0.3, 0.3)",64,4,0,3,10.8,192,"[-8.3293, -8.3171, -8.5254]","[None, None, None]",2010
False,False,1e-06,1e-05,"(0.4, 0.3, 0.3)",64,4,0,1,3.35,64,[-7.8366],[None],2011
False,False,1e-06,1e-05,"(0.4, 0.3, 0.3)",64,4,0,3,10.79,192,"[-7.9334, -8.3149, -8.1031]","[None, None, None]",2012
False,False,1e-06,1e-05,"(0.4, 0.3, 0.3)",64,4,0,3,10.82,192,"[-8.3188, -8.4285, -8.2072]","[None, None, None]",2013
False,False,1e-06,1e-05,"(0.4, 0.3, 0.3)",64,4,0,3,11.08,192,"[-8.0772, -7.6334, -7.4414]","[None, None, None]",2014
False,False,1e-06,1e-05,"(0.4, 0.3, 0.3)",64,4,0,1,3.52,64,[-8.5799],[None],2015
False,False,1e-06,1e-05,"(0.4, 0.3, 0.3)",64,4,0,3,10.88,192,"[-8.0989, -7.4322, -7.5618]","[None, None, None]",2016
False,False,1e-06,1e-05,"(0.4, 0.3, 0.3)",64,4,0,2,7.07,128,"[-7.6836, -8.2293]","[None, None]",2017
False,False,1e-06,1e-05,"(0.4, 0.3, 0.3)",64,4,0,2,7.13,128,"[-7.5054, -8.6798]","[None, None]",2018
False,False,1e-06,1e-05,"(0.4, 0.3, 0.3)",64,4,0,1,3.77,64,[-7.9559],[None],2019
False,False,1e-06,1e-06,"(0.4, 0.3, 0.3)",64,4,0,3,11.29,192,"[-10.9241, -10.8547, -10.8065]","[None, None, None]",2000
False,False,1e-06,1e-06,"(0.4, 0.3, 0.3)",64,4,0,3,10.78,192,"[-10.9146, -10.9036, -10.8571]","[None, None, None]",2001
False,False,1e-06,1e-06,"(0.4, 0.3, 0.3)",64,4,0,2,7.02,128,"[-10.8825, -10.8141]","[None, None]",2002
False,False,1e-06,1e-06,"(0.4, 0.3, 0.3)",64,4,0,3,10.79,192,"[-10.8198, -10.7946, -10.7786]","[None, None, None]",2003
False,False,1e-06,1e-06,"(0.4, 0.3, 0.3)",64,4,0,2,6.98,128,"[-10.9606, -10.8637]","[None, None]",2004
