,measure_size,scratch,encoder_freeze,encoder_lr,cost_predictor_lr,weights,uncertainty_topk,grad_num,rand_num,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed,rank_warmup_epochs,top-1,T_mc
3960,48,False,False,1e-05,0.0001,"(0.6, 0.1, 0.3)",0,4,0,2,6.72,96,"[0.4703, 0.5361]","[None, None]",2010,0,1.0,20.0
3961,48,False,False,1e-05,0.0001,"(0.6, 0.1, 0.3)",0,4,0,2,6.72,96,"[0.4229, 0.1237]","[None, None]",2011,0,0.0,20.0
3962,48,False,False,1e-05,0.0001,"(0.6, 0.1, 0.3)",0,4,0,2,6.73,96,"[0.492, 0.501]","[None, None]",2012,0,0.0,20.0
3963,48,False,False,1e-05,0.0001,"(0.6, 0.1, 0.3)",0,4,0,2,6.73,96,"[0.5464, 0.5344]","[None, None]",2013,0,0.0,20.0
3964,48,False,False,1e-05,0.0001,"(0.6, 0.1, 0.3)",0,4,0,1,3.27,48,[0.5136],[None],2014,0,0.0,20.0
3965,48,False,False,1e-05,0.0001,"(0.6, 0.1, 0.3)",0,4,0,2,6.73,96,"[0.6024, 0.4043]","[None, None]",2015,0,0.0,20.0
3966,48,False,False,1e-05,0.0001,"(0.6, 0.1, 0.3)",0,4,0,2,6.72,96,"[0.4, 0.3186]","[None, None]",2016,0,1.0,20.0
3967,48,False,False,1e-05,0.0001,"(0.6, 0.1, 0.3)",0,4,0,2,6.72,96,"[0.6085, 0.5722]","[None, None]",2017,0,0.0,20.0
3968,48,False,False,1e-05,0.0001,"(0.6, 0.1, 0.3)",0,4,0,5,17.93,240,"[0.5661, 0.4076, 0.3815, 0.3641, 0.4334]","[None, None, None, None, None]",2018,0,0.0,20.0
3969,48,False,False,1e-05,0.0001,"(0.6, 0.1, 0.3)",0,4,0,2,6.76,96,"[0.5432, 0.4728]","[None, None]",2019,0,0.0,20.0
3970,48,False,False,1e-05,0.0001,"(0.6, 0.1, 0.3)",0,4,0,1,3.28,48,[0.3629],[None],2000,100,1.0,20.0
3971,48,False,False,1e-05,0.0001,"(0.6, 0.1, 0.3)",0,4,0,11,46.82,528,"[0.5674, 0.5416, 0.5034, 0.4671, 0.3654, 0.3984, 0.3208, 0.2013, 0.171, 0.0326, 0.3594]","[None, None, None, None, None, None, None, None, None, None, None]",2001,100,0.0,20.0
3972,48,False,False,1e-05,0.0001,"(0.6, 0.1, 0.3)",0,4,0,1,3.35,48,[0.4536],[None],2002,100,0.0,20.0
3973,48,False,False,1e-05,0.0001,"(0.6, 0.1, 0.3)",0,4,0,1,3.25,48,[0.5284],[None],2003,100,0.0,20.0
3974,48,False,False,1e-05,0.0001,"(0.6, 0.1, 0.3)",0,4,0,1,3.28,48,[0.543],[None],2004,100,0.0,20.0
3975,48,False,False,1e-05,0.0001,"(0.6, 0.1, 0.3)",0,4,0,2,6.73,96,"[0.5832, 0.4515]","[None, None]",2005,100,0.0,20.0
3976,48,False,False,1e-05,0.0001,"(0.6, 0.1, 0.3)",0,4,0,1,3.28,48,[0.6337],[None],2006,100,0.0,20.0
3977,48,False,False,1e-05,0.0001,"(0.6, 0.1, 0.3)",0,4,0,2,6.72,96,"[0.6361, 0.5298]","[None, None]",2007,100,0.0,20.0
3978,48,False,False,1e-05,0.0001,"(0.6, 0.1, 0.3)",0,4,0,2,6.49,96,"[0.5834, 0.5513]","[None, None]",2008,100,0.0,20.0
3979,48,False,False,1e-05,0.0001,"(0.6, 0.1, 0.3)",0,4,0,1,3.16,48,[0.5804],[None],2009,100,0.0,20.0
3980,48,False,False,1e-05,0.0001,"(0.6, 0.1, 0.3)",0,4,0,2,6.48,96,"[0.5002, 0.5499]","[None, None]",2010,100,1.0,20.0
