,measure_size,encoder_freeze,scratch,weights,uncertainty_topk,grad_num,rand_num,encoder_lr,cost_predictor_lr,rank_warmup_epochs,lambda_pair,margin_scale,phase,train_size,top-1,used_time,val_reg_r2,val_rank_r2,sampling_seed,lambda_infonce,tau,tau_c,beta,gamma,noise_std,lambda_reg,feature_predictor_lr,epochs
100,64,False,False,"(0.4, 0.3, 0.3)",64.0,4,0,1e-05,0.0001,100,2.0,0.3,2,128,0.0,8.66,"[0.6333, 0.6376]","[None, None]",2002,0.2,0.05,,0.01,0.01,0.001,0.01,0.0,1000.0
101,64,False,False,"(0.4, 0.3, 0.3)",64.0,4,0,1e-05,0.0001,100,2.0,0.3,3,192,0.0,12.93,"[0.6144, 0.6776, 0.691]","[None, None, None]",2003,0.2,0.05,,0.01,0.01,0.001,0.01,0.0,1000.0
102,64,False,False,"(0.4, 0.3, 0.3)",64.0,4,0,1e-05,0.0001,100,2.0,0.3,5,320,0.0,23.08,"[0.5164, 0.7022, 0.6746, 0.7056, 0.7105]","[None, None, None, None, None]",2004,0.2,0.05,,0.01,0.01,0.001,0.01,0.0,1000.0
103,64,False,False,"(0.4, 0.3, 0.3)",64.0,4,0,1e-05,0.0001,100,2.0,0.3,2,128,0.0,8.49,"[0.6715, 0.699]","[None, None]",2005,0.2,0.05,,0.01,0.01,0.001,0.01,0.0,1000.0
104,64,False,False,"(0.4, 0.3, 0.3)",64.0,4,0,1e-05,0.0001,100,2.0,0.3,2,128,0.0,8.62,"[0.5842, 0.6976]","[None, None]",2006,0.2,0.05,,0.01,0.01,0.001,0.01,0.0,1000.0
105,64,False,False,"(0.4, 0.3, 0.3)",64.0,4,0,1e-05,0.0001,100,2.0,0.3,3,192,0.0,13.19,"[0.4532, 0.6961, 0.6841]","[None, None, None]",2007,0.2,0.05,,0.01,0.01,0.001,0.01,0.0,1000.0
106,64,False,False,"(0.4, 0.3, 0.3)",64.0,4,0,1e-05,0.0001,100,2.0,0.3,2,128,0.0,8.42,"[0.6098, 0.6264]","[None, None]",2008,0.2,0.05,,0.01,0.01,0.001,0.01,0.0,1000.0
107,64,False,False,"(0.4, 0.3, 0.3)",64.0,4,0,1e-05,0.0001,100,2.0,0.3,3,192,0.0,13.02,"[0.6476, 0.7147, 0.6724]","[None, None, None]",2009,0.2,0.05,,0.01,0.01,0.001,0.01,0.0,1000.0
108,64,False,False,"(0.4, 0.3, 0.3)",64.0,4,0,1e-05,0.0001,100,2.0,0.3,3,192,0.0,12.86,"[0.5314, 0.6656, 0.6871]","[None, None, None]",2010,0.2,0.05,,0.01,0.01,0.001,0.01,0.0,1000.0
109,64,False,False,"(0.4, 0.3, 0.3)",64.0,4,0,1e-05,0.0001,100,2.0,0.3,4,256,0.0,17.56,"[0.6536, 0.6687, 0.6607, 0.7095]","[None, None, None, None]",2011,0.2,0.05,,0.01,0.01,0.001,0.01,0.0,1000.0
110,64,False,False,"(0.4, 0.3, 0.3)",64.0,4,0,1e-05,0.0001,100,2.0,0.3,2,128,0.0,8.49,"[0.6314, 0.605]","[None, None]",2012,0.2,0.05,,0.01,0.01,0.001,0.01,0.0,1000.0
111,64,False,False,"(0.4, 0.3, 0.3)",64.0,4,0,1e-05,0.0001,100,2.0,0.3,2,128,0.0,8.43,"[0.5561, 0.6138]","[None, None]",2013,0.2,0.05,,0.01,0.01,0.001,0.01,0.0,1000.0
